2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:23:58 | INFO | application.py:37 | __init__ | Initializing ReMe Application v0.4.1.0
2026-07-15 11:24:01 | INFO | local_file_store.py:117 | load | Loaded 0 chunks from C:\Users\Nova\.novapaw\workspaces\NovaPaw_QA_Agent_0.2\mem_metadata\file_store\file_chunks_default_v1.jsonl.zst
2026-07-15 11:24:01 | INFO | local_file_store.py:117 | load | Loaded 0 chunks from C:\Users\Nova\.novapaw\workspaces\NovaPaw_QA_Agent_0.2\mem_metadata\file_store\file_chunks_default_v1.jsonl.zst
2026-07-15 11:24:01 | INFO | local_file_store.py:117 | load | Loaded 0 chunks from C:\Users\Nova\.novapaw\workspaces\NovaPaw_QA_Agent_0.2\mem_metadata\file_store\file_chunks_default_v1.jsonl.zst
2026-07-15 11:24:01 | INFO | local_file_store.py:117 | load | Loaded 0 chunks from C:\Users\Nova\.novapaw\workspaces\NovaPaw_QA_Agent_0.2\mem_metadata\file_store\file_chunks_default_v1.jsonl.zst
2026-07-15 11:24:01 | INFO | local_file_store.py:117 | load | Loaded 0 chunks from C:\Users\Nova\.novapaw\workspaces\NovaPaw_QA_Agent_0.2\mem_metadata\file_store\file_chunks_default_v1.jsonl.zst
2026-07-15 11:24:01 | INFO | local_file_store.py:117 | load | Loaded 0 chunks from C:\Users\Nova\.novapaw\workspaces\NovaPaw_QA_Agent_0.2\mem_metadata\file_store\file_chunks_default_v1.jsonl.zst
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: index_update_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: index_update_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: index_update_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: index_update_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: index_update_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: index_update_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: resource_watch_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: resource_watch_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: resource_watch_loop
2026-07-15 11:24:01 | INFO | application.py:205 | _start_one | Starting background job: resource_watch_loop
